Word	Translation
Ένα τέτοιο ταξίδι είναι το όνειρό μου!	Такое путешествие — моя мечта!
Τόσο κόπο έκανα να τα μάθω...	Я приложил(а) столько усилий, чтобы их выучить...
Θέλουμε να χαλαρώσουμε, χωρίς να πληρώσουμε μια περιουσία.	Мы хотим отдохнуть, не потратив целое состояние.
Καιρό είχαμε να τα πούμε.	Давно мы не общались.
Αξίζει!	Это того стоит!
Παίρνω το πλοίο της γραμμής.	Я плыву на рейсовом пароме.
Θα σας έρθει πολύ πιο φτηνά.	Вам это обойдётся намного дешевле.
Να αποφασίσετε όσο το δυνατόν πιο γρήγορα.	Решите как можно быстрее.
Μου λείπει η Αθήνα.	Я скучаю по Афинам.
Είναι από τα αγαπημένα μου νησιά.	Это один из моих любимых островов.
Τον Δεκαπενταύγουστο γίνεται χαμός.	На Успение (15 августа) начинается настоящий хаос.
Δε βρίσκεις χώρο ούτε να καθίσεις.	Негде даже присесть.
Όλα εντάξει με το δωμάτιο; Είστε ικανοποιημένες;	С номером всё в порядке? Вы довольны?
Γι' αυτό σας έψαχα.	Вот из-за этого я вас и искал(а).
Δεν μπορέσαμε να κλείσουμε μάτι όλη τη νύχτα.	Мы всю ночь глаз не сомкнули.
Δε σέβονται κανέναν.	Они никого не уважают.
Εμείς θέλουμε την ησυχία μας.	Мы хотим тишины и покоя.
Κατά τα άλλα...	В остальном...
Πώς σας φαίνεται το νησί μας;	Как вам наш остров?
Και ό,τι άλλο χρειαστείτε είμαι στη διάθεσή σας.	И если вам понадобится что-то ещё, я в вашем распоряжении.
Καλή διαμονή σάς εύχομαι.	Желаю вам приятного пребывания.
