Word	Translation	Type
το μήνυμα	message	noun
το τηλέφωνο	telephone	noun
το κινητό	mobile phone	noun
το πάρτι	party	noun
η πρόσκληση	invitation	noun
το πτυχίο	degree / diploma	noun
ο φίλος	friend	noun
ο πατέρας	father	noun
ο γιος	son	noun
ο γιατρός	doctor (he)	noun
η γιατρός	doctor (she)	noun
ο άνθρωπος	human / person	noun
ο μαθητής	student	noun
ο πελάτης	client	noun
ο άντρας	man	noun
ο χειμώνας	winter	noun
ο γείτονας	neighbor	noun
η οδός	street	noun
η είσοδος	entrance	noun
η λεωφόρος	avenue	noun
η δουλειά	work / job	noun
η γυναίκα	woman	noun
το σπίτι	house	noun
το μάθημα	lesson	noun
η σταδιοδρομία	career	noun
τα συγχαρητήρια	congratulations	noun
ο έξοδος	exit / night out (he)	noun
η έξοδος	exit / night out (she)	noun
ο δικηγόρος	lawyer (he)	noun
η δικηγόρος	lawyer (she)	noun
ο μηχανικός	engineer (he)	noun
η μηχανικός	engineer (she)	noun
ο οδηγός	driver (he)	noun
η οδηγός	driver (she)	noun
ο πρόεδρος	president (he)	noun
η πρόεδρος	president (she)	noun
ο φοιτητής	student (university)	noun
το σταθερό	landline	noun
η οικογένεια	family	noun
ο συνάδελφος	colleague	noun
ο μάστορας	technician	noun
ο τοίχος	wall	noun
ο σωλήνας	pipe	noun
η ζημιά	damage	noun
το διαμέρισμα	apartment	noun
το σχολείο	school	noun
αφήνω	to leave	verb
ζητάω	to ask for / seek	verb
μιλάω	to speak	verb
φωνάζω	to call out / shout	verb
ετοιμάζω	to prepare	verb
κανονίζω	to arrange	verb
καλώ	to invite	verb
κλείνω	to close / book	verb
περιμένω	to wait	verb
γνωρίζω	to know / meet	verb
ενοχλώ	to bother	verb
υπάρχω	to exist	verb
πειράζω	to matter / bother	verb
επικοινωνώ	to contact / get in touch	verb
κερνάω	to treat (someone)	verb
συστήνω	to introduce / recommend	verb
σπουδάζω	to study	verb
γιορτάζω	to celebrate	verb
στέλνω	to send	verb
διαβάζω	to read / study	verb
βοηθάω	to help	verb
πληρώνω	to pay	verb
ακούω	to hear	verb
βλέπω	to see	verb
φέρνω	to bring	verb
μαζεύω	to collect	verb
τέλειος	perfect	adjective
άσπρος	white	adjective
κόκκινος	red	adjective
τυχερός	lucky	adjective
οργανωμένος	organized	adjective
μυστήριος	mysterious	adjective
κοινός	common	adjective
